,8.79,-5.13,3.20,0.17,0.05,0.08
116249,8.96,-2.75,2.65,0.21,0.29,0.23
116262,8.94,-2.85,2.76,0.17,0.26,0.26
116275,8.93,-2.86,2.75,0.12,0.21,0.28
116288,8.93,-3.24,2.72,-0.03,0.12,0.31
116301,8.94,-3.46,2.64,-0.05,0.09,0.31
116314,8.93,-3.62,2.62,-0.04,0.06,0.30
116327,8.93,-3.77,2.53,-0.03,0.01,0.26
116340,8.96,-3.85,2.39,-0.06,-0.01,0.23
116353,9.00,-4.02,2.21,-0.08,-0.01,0.19
116366,8.99,-3.99,2.21,-0.02,0.01,0.11
116379,8.98,-3.83,2.24,0.02,0.01,0.07
116392,8.95,-3.74,2.33,0.01,0.02,0.04
