3,-4.07,4.56,0.02,-0.05,0.07
589895,8.27,-4.17,4.63,0.28,-0.04,0.02
589908,9.45,-4.01,4.26,0.42,-0.08,0.03
589921,6.80,-3.00,5.05,0.32,-0.08,0.01
589934,8.40,-3.92,4.28,0.26,-0.16,0.13
589947,7.78,-4.30,4.36,0.14,-0.17,0.18
589960,7.81,-3.89,4.21,0.16,-0.18,0.17
589973,7.87,-4.18,4.45,0.20,-0.18,0.20
589986,7.74,-4.15,4.41,0.18,-0.19,0.19
589999,8.45,-4.23,3.73,0.18,-0.24,0.20
590012,7.96,-4.09,4.50,0.21,-0.18,0.17
590025,8.29,-4.45,3.95,0.23,-0.18,0.15
590038,8.59,-4.23,4.32,0.36,-0.14,0.07
590051,7.91,-3.61,4.33,0.35,-0.12,0.00
590064,8.57,-3.93,4.15,0.41,-0.15,0.03
590077,7.64,-3.23,4.37,0.39,-0.13,0.03
590089,8.07,-2.57,4.57,0.35,-0.22,0.14
590102,7.35,-2.58,4.46,0.20,-0.30,0.27
590115,8.68,-3.31,3.45,-0.06,-0.39,0.49
590128,7.58,-3.78,3.94,-0.19,-0.38,0.52
590141,8.27,-4.96,3.52,-0.22,-0.34,0.49
590154,9.31,-5.19,3.29,-0.01,-0.18,0.15
590167,8.26,-4.43,4.37,0.26,-0.07,-0.06
590179,8.86,-3.99,4.01,0.49,-0.10,-0.14
590192,7.88,-2.63,4.81,0.81,-0.16,-0.11
590204,8.53,-2.73,4.56,0.50,-0.44,0.14
590217,8.15,-2.92,3.85,0.14,-0.54,0.26
590230,8.41,-3.48,3.69,-0.24,-0.54,0.29
590242,8.23,-4.45,3.20,-0.31,-0.45,0.25
590254,8.41,-4.09,3.75,0.18,-0.12,0.02
590266,8.26,-3.76,4.51,0.40,-0.06,-0.02
590279,8.50,-3.45,4.71,0.38,-0.07,-0.10
590291,8.54,-3.75,4.15,0.21,-0.12,-0.17
590304,7.97,-3.13,4.61,-0.03,-0.15,-0.21
590317,7.74,-3.23,4.16,-0.05,-0.18,-0.19
590330,8.47,-3.60,4.33,0.00,-0.15,-0.12
590343,8.13,-3.64,3.80,-0.20,-0.23,-0.04
590355,8.28,-3.51,4.24,-0.12,-0.19,0.02
590367,8.13,-3.39,4.41,-0.11,-0.22,0.04
590379,8.13,-3.67,3.88,-0.19,-0.27,0.05
590392,8.50,-3.98,3.85,-0.17,-0.19,0.04
590404,8.23,-3.96,4.06,-0.22,-0.20,-0.00
590416,8.43,-4.30,3.95,-0.23,-0.22,-0.04
590428,8.35,-4.15,3.19,-0.25,-0.20,-0.09
590440,8.21,-3.80,3.61,-0.22,-0.14,-0.24
590453,8.00,-4.27,3.28,-0.18,-0.11,-0.21
590465,8.33,-4.22,3.93,-0.08,-0.08,-0.18
590477,7.83,-3.29,3.40,-0.11,-0.09,-0.19
590490,8.68,-3.29,4.09,-0.13,-0.12,-0.20
590503,7.97,-3.37,3.16,-0.28,-0.13,-0.23
590515,8.78,-5.19,4.14,-0.14,-0.01,-0.16
590527,8.38,-3.00,3.87,-0.14,-0.05,-0.26
590539,8.13,-3.57,3.88,-0.01,-0.01,-0.28
590551,8.06,-3.33,4.00,-0.08,-0.01,-0.23
590564,8.48,-3.31,4.28,-0.19,-0.04,-0.21
590577,8.37,-3.13,3.68,-0.33,-0.10,-0.20
590590,8.29,-4.27,3.75,-0.33,-0.04,-0.15
590603,8.76,-3.93,3.49,-0.31,-0.03,-0.19
590616,8.30,-3.94,3.76,-0.25,-0.04,-0.24
590629,8.28,-3.53,4.00,-0.19,0.00,-0.25
590642,8.07,-3.33,3.87,-0.29,-0.03,-0.29
590655,8.54,-3.75,3.28,-0.38,-0.03,-0.25
590668,7.78,-3.50,4.03,-0.33,0.01,-0.21
590681,8.72,-4.09,3.28,-0.35,0.02,-0.17
590694,8.53,-3.27,3.26,-0.29,0.04,-0.17
590707,8.49,-3.74,3.93,-0.36,0.02,-0.20
590720,8.87,-3.87,3.28,-0.40,-0.03,-0.23
590733,8.07,-3.72,3.59,-0.41,-0.01,-0.27
590746,8.62,-2.98,3.15,-0.33,0.06,-0.28
590759,8.68,-4.38,3.99,-0.22,0.08,-0.20
590772,8.29,-2.25,2.95,-0.31,0.03,-0.29
590785,7.76,-2.95,4.08,-0.39,-0.05,-0.23
590798,9.05,-1.97,1.97,-0.51,-0.14,-0.08
590811,8.27,-5.22,3.98,-0.42,-0.00,0.13
590824,8.45,-4.57,3.09,-0.44,0.00,-0.12
590837,8.72,-5.12,3.20,-0.44,0.07,-0.22
590850,8.22,-3.87,2.47,-0.42,0.08,-0.33
590863,8.35,-3.78,3.86,-0.30,0.19,-0.30
590876,8.34,-2.84,3.49,-0.12,0.11,-0.35
590889,8.70,-3.78,3.68,-0.17,0.08,-0.27
590902,8.48,-2.28,3.67,-0.30,0.01,-0.30
590915,7.60,-3.26,4.29,-0.42,0.08,-0.15
590928,8.26,-3.55,2.89,-0.54,0.00,-0.15
590941,8.44,-3.89,2.23,-0.52,0.08,-0.08
590954,8.65,-3.86,3.44,-0.38,0.14,0.01
590967,8.46,-3.50,3.56,-0.22,0.09,0.06
590980,8.09,-3.28,4.08,-0.21,-0.00,0.02
590993,8.42,-3.87,2.99,-0.47,-0.12,0.13
591006,8.81,-5.03,3.15,-0.56,-0.09,0.09
591019,8.16,-4.83,3.02,-0.45,-0.08,-0.03
591032,8.27,-4.07,3.26,-0.04,0.15,-0.07
591045,7.95,-4.08,3.69,-0.05,0.15,-0.10
